nom;pourcent
black;7309
white;5999
red;5625
yellow;5532
blue;4616
light bluish gray;3726
dark bluish gray;3514
trans clear;2859
green;2640
trans red;2508
light gray;2503
tan;2463
reddish brun;2051
orange;1652
trans yellow;1638
trans light blue;1599
trans black;1117
dark tan;1106
trans neon orange;951
flat silver;1404
dark gray;1396
no color;1283
lime;1217
 trans dark blue;1179
pearl gold;1022
light flesh;789
trans green;1034
medium blue ;634
bright light orange;610
